"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: A Sequest HT"	"Score Sequest HT: B Sequest HT"	"Score Sequest HT: C Sequest HT"	"Score Sequest HT: D Sequest HT"	"Score Sequest HT: E Sequest HT"	"Score Sequest HT: F Sequest HT"	"Score Sequest HT: G Sequest HT"	"Score Sequest HT: H Sequest HT"	"Score Sequest HT: I Sequest HT"	"Score Sequest HT: J Sequest HT"	"Score Sequest HT: K Sequest HT"	"Score Sequest HT: L Sequest HT"	"Score Sequest HT: M Sequest HT"	"Score Sequest HT: N Sequest HT"	"Score Sequest HT: O Sequest HT"	"Score Sequest HT: P Sequest HT"	"# Peptides (by Search Engine): A Sequest HT"	"# Peptides (by Search Engine): B Sequest HT"	"# Peptides (by Search Engine): C Sequest HT"	"# Peptides (by Search Engine): D Sequest HT"	"# Peptides (by Search Engine): E Sequest HT"	"# Peptides (by Search Engine): F Sequest HT"	"# Peptides (by Search Engine): G Sequest HT"	"# Peptides (by Search Engine): H Sequest HT"	"# Peptides (by Search Engine): I Sequest HT"	"# Peptides (by Search Engine): J Sequest HT"	"# Peptides (by Search Engine): K Sequest HT"	"# Peptides (by Search Engine): L Sequest HT"	"# Peptides (by Search Engine): M Sequest HT"	"# Peptides (by Search Engine): N Sequest HT"	"# Peptides (by Search Engine): O Sequest HT"	"# Peptides (by Search Engine): P Sequest HT"	"# Protein Pathway Groups"	"# Razor Peptides"	"Abundance Ratio: (F2) / (F1)"	"Abundance Ratio: (F3) / (F1)"	"Abundance Ratio: (F4) / (F1)"	"Abundance Ratio: (F5) / (F1)"	"Abundance Ratio: (F6) / (F1)"	"Abundance Ratio: (F7) / (F1)"	"Abundance Ratio: (F8) / (F1)"	"Abundance Ratio: (F9) / (F1)"	"Abundance Ratio: (F10) / (F1)"	"Abundance Ratio: (F11) / (F1)"	"Abundance Ratio: (F12) / (F1)"	"Abundance Ratio: (F13) / (F1)"	"Abundance Ratio: (F14) / (F1)"	"Abundance Ratio: (F15) / (F1)"	"Abundance Ratio: (F16) / (F1)"	"Abundances (Normalized): F1: Sample"	"Abundances (Normalized): F2: Sample"	"Abundances (Normalized): F3: Sample"	"Abundances (Normalized): F4: Sample"	"Abundances (Normalized): F5: Sample"	"Abundances (Normalized): F6: Sample"	"Abundances (Normalized): F7: Sample"	"Abundances (Normalized): F8: Sample"	"Abundances (Normalized): F9: Sample"	"Abundances (Normalized): F10: Sample"	"Abundances (Normalized): F11: Sample"	"Abundances (Normalized): F12: Sample"	"Abundances (Normalized): F13: Sample"	"Abundances (Normalized): F14: Sample"	"Abundances (Normalized): F15: Sample"	"Abundances (Normalized): F16: Sample"	"Abundance: F1: Sample"	"Abundance: F2: Sample"	"Abundance: F3: Sample"	"Abundance: F4: Sample"	"Abundance: F5: Sample"	"Abundance: F6: Sample"	"Abundance: F7: Sample"	"Abundance: F8: Sample"	"Abundance: F9: Sample"	"Abundance: F10: Sample"	"Abundance: F11: Sample"	"Abundance: F12: Sample"	"Abundance: F13: Sample"	"Abundance: F14: Sample"	"Abundance: F15: Sample"	"Abundance: F16: Sample"	"Abundances Count: F1: Sample"	"Abundances Count: F2: Sample"	"Abundances Count: F3: Sample"	"Abundances Count: F4: Sample"	"Abundances Count: F5: Sample"	"Abundances Count: F6: Sample"	"Abundances Count: F7: Sample"	"Abundances Count: F8: Sample"	"Abundances Count: F9: Sample"	"Abundances Count: F10: Sample"	"Abundances Count: F11: Sample"	"Abundances Count: F12: Sample"	"Abundances Count: F13: Sample"	"Abundances Count: F14: Sample"	"Abundances Count: F15: Sample"	"Abundances Count: F16: Sample"	"Found in Sample: [S1] F1: Sample"	"Found in Sample: [S2] F2: Sample"	"Found in Sample: [S3] F3: Sample"	"Found in Sample: [S4] F4: Sample"	"Found in Sample: [S5] F5: Sample"	"Found in Sample: [S6] F6: Sample"	"Found in Sample: [S7] F7: Sample"	"Found in Sample: [S8] F8: Sample"	"Found in Sample: [S9] F9: Sample"	"Found in Sample: [S10] F10: Sample"	"Found in Sample: [S11] F11: Sample"	"Found in Sample: [S12] F12: Sample"	"Found in Sample: [S13] F13: Sample"	"Found in Sample: [S14] F14: Sample"	"Found in Sample: [S15] F15: Sample"	"Found in Sample: [S16] F16: Sample"	"# Protein Groups"	"Modifications"
"-7115142250704838097"	"False"	"High"	"IsMasterProtein"	"P08670"	"Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4"	"0.000"	"2214.903"	"98"	"86"	"4523"	"77"	"466"	"53.6"	"5.12"	"1132.15"	"1663.57"	"1308.03"	"1565.57"	"1199.71"	"1740.47"	"1194.43"	"1543.29"	"1376.33"	"1816.49"	"1426.35"	"1730.90"	"225.00"	"943.39"	"127.04"	"75.04"	"61"	"77"	"69"	"74"	"63"	"75"	"62"	"74"	"69"	"74"	"65"	"70"	"23"	"60"	"13"	"11"	"0"	"12"	"0.805"	"0.924"	"0.776"	"0.789"	"0.764"	"0.836"	"0.807"	"1.000"	"0.898"	"1.062"	"0.850"	"0.067"	"0.683"	"0.062"	"0.027"	"42117998669.0137"	"51586476151.5684"	"39757232567.992"	"47814614382.4487"	"36462344837.9274"	"48336923101.3038"	"34669126875.8662"	"47938734046.1062"	"39460771790.6981"	"46081560311.3336"	"37496211861.8974"	"46303057333.0986"	"3755633136.38744"	"31248379156.1622"	"1491259369.61041"	"1392957097.57338"	"18068894372.5938"	"48912527105.5272"	"23176075768.4959"	"36517136020.5601"	"16277916600.6619"	"48336923101.3038"	"17561466717.6006"	"30193154928.4687"	"19997420212.6224"	"45513425572.8302"	"19983937778.5445"	"29975077638.1694"	"200261506.990051"	"11515359921.5139"	"123623028.515747"	"73449187.5268555"	"133"	"153"	"142"	"146"	"128"	"154"	"139"	"143"	"136"	"149"	"138"	"144"	"83"	"129"	"74"	"64"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-880435081762619547"	"False"	"High"	"IsMasterProtein"	"Q09666"	"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2"	"0.000"	"3724.993"	"80"	"328"	"3156"	"328"	"5890"	"628.7"	"6.15"	"900.53"	"1132.14"	"696.26"	"1069.47"	"746.26"	"1138.11"	"675.37"	"903.95"	"861.08"	"1056.23"	"698.95"	"1044.32"	"5.60"	"855.92"	"4.74"	""	"167"	"209"	"144"	"205"	"150"	"211"	"147"	"179"	"173"	"197"	"146"	"207"	"2"	"157"	"2"	""	"0"	"0"	"1.089"	"0.844"	"1.020"	"0.975"	"1.079"	"0.896"	"1.007"	"1.043"	"1.005"	"0.928"	"1.142"	"0.727"	"1.218"	"0.912"	"1.098"	"4001626250.19304"	"4976360007.85644"	"3751842209.40904"	"4835516827.20823"	"4057035262.86201"	"4872757580.76636"	"3736257245.46829"	"4935790604.3456"	"4364767533.54959"	"4595903819.20439"	"3933639090.9813"	"5527446307.56948"	"2302371661.94378"	"4592103749.75211"	"3936448597.17201"	"4011440739.15497"	"1716723593.67188"	"4718413854.35938"	"2187098389.40625"	"3692996963.15625"	"1811185812.33203"	"4872757580.76636"	"1892581763.0083"	"3108698912.82813"	"2211920510.875"	"4539241401.59375"	"2096467747.91406"	"3578287088.4375"	"122769291.335938"	"1692239050.57813"	"326325324.149414"	"211519122.603516"	"336"	"390"	"330"	"374"	"334"	"374"	"343"	"375"	"351"	"367"	"347"	"370"	"93"	"334"	"80"	"76"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"1"	"Acetyl [N-Term]"
"2962281166201317424"	"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4"	"0.000"	"2458.032"	"73"	"181"	"2248"	"161"	"1960"	"226.4"	"5.60"	"791.86"	"685.00"	"588.40"	"693.41"	"731.17"	"668.20"	"667.33"	"683.33"	"751.92"	"672.98"	"655.35"	"682.91"	"11.37"	"737.17"	"12.90"	""	"115"	"111"	"92"	"119"	"108"	"107"	"102"	"112"	"103"	"113"	"100"	"110"	"4"	"108"	"3"	""	"0"	"22"	"0.612"	"0.670"	"0.582"	"0.846"	"0.577"	"0.693"	"0.560"	"0.895"	"0.516"	"0.700"	"0.570"	"0.562"	"1.009"	"0.293"	"0.286"	"5764603252.57495"	"4524302866.7189"	"3178592297.53503"	"5036648924.83245"	"5149688365.25555"	"4356821346.47266"	"3885350450.94827"	"6005702938.67422"	"4241127223.00134"	"3987428554.3515"	"3362711788.53208"	"5517393982.35014"	"80300770604.3672"	"5952454213.20625"	"20707677889.5073"	"66364627747.3343"	"2473052152.57813"	"4289788780.14087"	"1852928163.41895"	"3846606236.42773"	"2298979895.60547"	"4356821346.47266"	"1968104154.30566"	"3782559612.59534"	"2149263671.35938"	"3938267964.65527"	"1792186992.02759"	"3571779543.44482"	"4281875452.07397"	"2193542658.28809"	"1716633542.3584"	"3499338204.35352"	"197"	"193"	"186"	"200"	"186"	"208"	"179"	"200"	"190"	"197"	"191"	"195"	"53"	"184"	"41"	"46"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term]"
"6980118088250601043"	"False"	"High"	"IsMasterProtein"	"P63261"	"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1"	"0.000"	"1078.429"	"99"	"41"	"1880"	"1"	"375"	"41.8"	"5.48"	"374.97"	"639.33"	"469.86"	"642.19"	"409.34"	"695.92"	"423.73"	"653.81"	"459.81"	"769.92"	"470.54"	"687.66"	"160.21"	"321.49"	"123.92"	"76.42"	"23"	"31"	"27"	"33"	"22"	"32"	"26"	"35"	"23"	"37"	"26"	"31"	"12"	"18"	"11"	"7"	"0"	"0"	"1.491"	"0.898"	"1.157"	"0.601"	"1.193"	"0.804"	"1.474"	"2.051"	"1.408"	"1.384"	"1.136"	"0.455"	"1.458"	"0.835"	"0.126"	"160904863.341362"	"98807286.5839296"	"93491977.6973422"	"71690964.2734518"	"153270704.021456"	"76951384.2460938"	"129631391.346215"	"87761647.653295"	"184921228.174893"	"102678545.885593"	"130566213.8872"	"89081404.749002"	"18043162.2138825"	"153776318.425813"	"33203975.773001"	"6049263.58074309"	"69029229.109375"	"93685679.7324219"	"54500200.8164063"	"54752061.21875"	"68424774.8869629"	"76951384.2460938"	"65664110.1125488"	"55274739.25"	"93711991.3837891"	"101412632.830078"	"69586418.59375"	"57668373.9101563"	"962114.968261719"	"56668208.140625"	"2752556.75"	"318971.4140625"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"2"	"3"	"2"	"2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"-174490317750568225"	"False"	"High"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1"	"0.000"	"1064.208"	"99"	"41"	"1850"	"1"	"375"	"41.7"	"5.48"	"362.96"	"630.29"	"449.15"	"641.60"	"401.22"	"698.02"	"407.29"	"647.71"	"448.14"	"768.55"	"458.13"	"678.04"	"155.10"	"319.61"	"115.40"	"76.30"	"23"	"31"	"27"	"33"	"22"	"32"	"26"	"35"	"23"	"37"	"26"	"31"	"12"	"18"	"11"	"7"	"0"	"72"	"1.392"	"1.365"	"1.245"	"0.786"	"1.554"	"1.160"	"1.327"	"1.044"	"1.421"	"1.131"	"1.304"	"0.065"	"0.996"	"0.097"	"0.080"	"15596905168.8539"	"14468759056.8773"	"15543171203.2322"	"13804798477.804"	"19956147139.0191"	"15377139598.7097"	"15208953569.3994"	"15173364308.9341"	"16194681706.4944"	"13744511418.9539"	"13512990291.2291"	"14466615000.9316"	"1198541753.27151"	"17662730369.8061"	"683165491.896958"	"492717365.528759"	"6691173392.40332"	"13718781012.9445"	"9060734116.05688"	"10543046519.5895"	"8909040278.22131"	"15377139598.7097"	"7704016685.36011"	"9556609044.47595"	"8206931608.23523"	"13575056774.8813"	"7201867702.70538"	"9365211128.39038"	"63909804.0155029"	"6508903914.29672"	"56633332.0727539"	"25980477.2462158"	"48"	"69"	"54"	"62"	"50"	"65"	"58"	"67"	"57"	"68"	"56"	"66"	"42"	"42"	"27"	"31"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"-3241887692250600056"	"False"	"High"	"IsMasterProtein"	"Q15149"	"Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3"	"0.000"	"2031.024"	"63"	"268"	"1682"	"267"	"4684"	"531.5"	"5.96"	"491.38"	"563.17"	"354.57"	"531.29"	"375.77"	"614.47"	"394.20"	"441.12"	"369.02"	"528.47"	"339.14"	"431.97"	"5.82"	"440.47"	""	""	"122"	"138"	"98"	"125"	"96"	"142"	"104"	"112"	"97"	"128"	"85"	"107"	"2"	"117"	""	""	"0"	"1"	"0.642"	"0.616"	"0.521"	"0.736"	"0.621"	"0.712"	"0.530"	"0.704"	"0.516"	"0.675"	"0.523"	"0.100"	"0.893"	"0.169"	"0.198"	"4575744552.1139"	"2692739962.12814"	"2968629197.73172"	"2953980032.97467"	"3902724870.48719"	"2746747543.875"	"3391014106.96153"	"2955793416.28135"	"3643781514.68988"	"2657300571.24791"	"3201351998.35466"	"2877136189.14168"	"233900415.970697"	"3582526559.68172"	"212830413.923384"	"413220967.077209"	"1963024065.74091"	"2553163662.48297"	"1730532302.45685"	"2256023436.75391"	"1742296888.46118"	"2746747543.875"	"1717700638.71362"	"1861641328.87817"	"1846548529.22607"	"2624538990.3689"	"1706188864.57031"	"1862563416.1626"	"12472264.4855957"	"1320199123.19141"	"17643302.6109619"	"21788714.3500366"	"221"	"246"	"210"	"240"	"196"	"246"	"210"	"240"	"212"	"254"	"224"	"240"	"68"	"197"	"44"	"50"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"1"	""
"6488855965708197639"	"False"	"High"	"IsMasterProtein"	"P14618"	"Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4"	"0.000"	"1413.282"	"84"	"52"	"1552"	"52"	"531"	"57.9"	"7.84"	"443.40"	"581.66"	"570.83"	"540.90"	"501.54"	"598.10"	"624.62"	"566.85"	"564.72"	"675.14"	"624.31"	"585.72"	"85.07"	"402.12"	"34.33"	"34.81"	"33"	"43"	"42"	"45"	"39"	"44"	"43"	"45"	"39"	"45"	"44"	"40"	"12"	"32"	"4"	"4"	"0"	"0"	"0.786"	"1.360"	"0.854"	"0.941"	"0.783"	"1.354"	"0.787"	"1.123"	"0.917"	"1.400"	"0.845"	"0.386"	"0.894"	"0.084"	"0.146"	"4632465375.26962"	"4248913992.66059"	"5952547405.39251"	"3920545691.80269"	"5085164961.91711"	"4039128375.00165"	"6486439156.82329"	"3735355173.7043"	"5535637913.71107"	"4188413501.22574"	"6442778244.24449"	"3879048847.09709"	"1003607382.03751"	"4281164621.95835"	"404543630.767223"	"380693007.198816"	"1987357666.45117"	"4028674496.47937"	"3469977178.29102"	"2994212170.30524"	"2270174656.03564"	"4039128375.00165"	"3285672170.98245"	"2352631117.96069"	"2805279077.98041"	"4136774989.13574"	"3433735653.83484"	"2511168744.59326"	"53515324.701416"	"1577654676.38281"	"33536023.1904297"	"20073548.6574707"	"61"	"74"	"76"	"73"	"63"	"74"	"76"	"75"	"70"	"78"	"77"	"73"	"37"	"54"	"22"	"15"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"-4567547795878987385"	"False"	"High"	"IsMasterProtein"	"P21333"	"Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4"	"0.000"	"1719.343"	"67"	"142"	"1518"	"132"	"2647"	"280.6"	"6.06"	"408.64"	"516.90"	"402.56"	"566.31"	"363.22"	"539.38"	"416.56"	"645.88"	"430.81"	"554.45"	"410.61"	"669.13"	"14.57"	"384.37"	""	"3.06"	"72"	"85"	"74"	"88"	"62"	"86"	"73"	"108"	"68"	"84"	"68"	"101"	"3"	"64"	""	"1"	"0"	"12"	"0.733"	"0.923"	"0.758"	"0.869"	"0.588"	"0.962"	"0.813"	"0.985"	"0.554"	"0.867"	"0.817"	"0.347"	"0.941"	"0.386"	"0.575"	"3971288127.0809"	"2652586433.2598"	"4386257338.74611"	"3167852761.74099"	"4757951763.89383"	"2621736678.3418"	"4807223740.88803"	"3516354702.91521"	"4453583007.31237"	"2399705576.60529"	"4290795308.37013"	"3499642650.63251"	"189611955.851125"	"3662940768.11976"	"287405255.57173"	"187323835.19329"	"1703708342.25208"	"2515091463.80469"	"2556924258.97729"	"2419363027.13477"	"2124096580.92188"	"2621736678.3418"	"2435074296.27344"	"2214698498.84766"	"2256929269.4375"	"2370119857.47949"	"2286817313.13965"	"2265553641.60742"	"10110672.3269043"	"1349832613.88672"	"23825438.3034668"	"9877392.14892578"	"121"	"149"	"134"	"148"	"118"	"151"	"119"	"152"	"122"	"142"	"129"	"155"	"28"	"118"	"19"	"24"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"1"	""
"-4615289327887409645"	"False"	"High"	"IsMasterProtein"	"Q9Y490"	"Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3"	"0.000"	"1515.650"	"65"	"129"	"1255"	"114"	"2541"	"269.6"	"6.07"	"455.05"	"369.00"	"375.26"	"363.46"	"403.28"	"375.19"	"389.47"	"341.84"	"416.20"	"330.63"	"376.63"	"310.56"	"2.48"	"339.42"	""	"1.95"	"74"	"72"	"72"	"73"	"72"	"72"	"72"	"73"	"78"	"66"	"68"	"68"	"1"	"63"	""	"1"	"0"	"16"	"0.588"	"0.855"	"0.491"	"0.964"	"0.560"	"1.022"	"0.511"	"0.990"	"0.546"	"0.946"	"0.527"	"0.587"	"0.978"	"1.493"	"0.778"	"1756877803.82936"	"1062054612.41893"	"1592027913.66219"	"1006228560.29806"	"2074404426.57576"	"1102418708.18359"	"1881358870.84737"	"1165326389.07049"	"1892263864.81264"	"982795145.336259"	"1737077167.72093"	"978267654.426721"	"708540482.529333"	"2098969231.81074"	"1171075111.39747"	"600940136.260661"	"753711963.20166"	"1007003751.62012"	"928056536.367188"	"768480216.326172"	"926078188.386841"	"1102418708.18359"	"952992595.185547"	"733955138.94043"	"958937039.004883"	"970678366.756592"	"925790641.575195"	"633298330.203125"	"37781481.7480469"	"773492476.12793"	"97080263.0585938"	"31686952.0515137"	"129"	"136"	"130"	"136"	"132"	"127"	"133"	"132"	"128"	"130"	"131"	"128"	"39"	"121"	"34"	"40"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"1"	""
"562319574892213792"	"False"	"High"	"IsMasterProtein"	"P04406"	"Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3"	"0.000"	"1076.719"	"88"	"36"	"1232"	"36"	"335"	"36.0"	"8.46"	"326.65"	"490.87"	"416.78"	"376.06"	"343.97"	"523.48"	"376.88"	"436.08"	"352.92"	"581.65"	"393.09"	"455.46"	"32.00"	"291.45"	"7.08"	"19.31"	"23"	"32"	"28"	"26"	"24"	"32"	"25"	"29"	"23"	"32"	"25"	"29"	"6"	"21"	"2"	"2"	"0"	"0"	"0.815"	"1.109"	"0.581"	"1.002"	"0.805"	"1.231"	"0.684"	"0.982"	"0.862"	"1.491"	"0.619"	"0.079"	"0.991"	"0.125"	"0.113"	"5289350078.78771"	"3944668936.87864"	"6008665981.90114"	"3183494092.60759"	"5241604092.48944"	"4171159635.10156"	"6412718038.46213"	"3262980554.23565"	"5522092050.96265"	"4170216421.46326"	"7078945587.39084"	"3231087826.67142"	"317828051.101024"	"5364257130.1453"	"138518235.051631"	"300107882.140835"	"2269165461.16895"	"3740199771.16699"	"3502690933.6803"	"2431308676.26685"	"2340013914.36792"	"4171159635.10156"	"3248329120.17188"	"2055116376.41211"	"2798414480.62891"	"4118802259.26685"	"3772786666.4812"	"2091700074.21924"	"16947535.1201172"	"1976785780.03906"	"11482941.2446289"	"15824378.3330078"	"58"	"68"	"60"	"68"	"58"	"67"	"65"	"66"	"61"	"66"	"59"	"66"	"26"	"54"	"19"	"22"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term]"
